FantasyPros ECR Ranking,Name,Team,Position,QB Strength of Schedule Rank,RB Strength of Schedule Rank,WR Strength of Schedule Rank,DST Strength of Schedule Rank,Team Situation,Advice,,,,,,,,,,,,,,,,,
92,DeAndre Hopkins,ARI,WR,12,22,3,17,Neutral,Draft him,,,,,,,,,,,,,,,,,
93,Rhamondre Stevenson,NE,RB,3,4,19,28,Neutral,,,,,,,,,,,,,,,,,,
94,Drake London,ATL,WR,18,23,15,19,Neutral,,,,,,,,,,,,,,,,,,
95,Ken Walker III,SEA,RB,31,20,16,18,Neutral,,,,,,,,,,,,,,,,,,
96,Zach Ertz,ARI,TE,9,12,25,20,Neutral,,,,,,,,,,,,,,,,,,
97,Christian Kirk,JAC,WR,8,5,2,31,Bad,,,,,,,,,,,,,,,,,,
98,Trey Lance,SF,QB,27,18,7,26,Neutral,Sleeper,,,,,,,,,,,,,,,,,
99,Cordarrelle Patterson,ATL,RB,4,19,21,5,Neutral,,,,,,,,,,,,,,,,,,
100,Hunter Renfrow,LV,WR,7,6,26,4,Neutral,Sleeper,,,,,,,,,,,,,,,,,
101,Matthew Stafford,LAR,QB,30,26,14,10,Good,,,,,,,,,,,,,,,,,,
102,Aaron Rodgers,GB,QB,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
103,Robert Woods,TEN,WR,26,15,10,14,Bad,,,,,,,,,,,,,,,,,,
104,Treylon Burks,TEN,WR,19,16,20,9,Bad,,,,,,,,,,,,,,,,,,
105,Chase Claypool,PIT,WR,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
106,Kadarius Toney,NYG,WR,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
107,Kirk Cousins,MIN,QB,27,18,7,26,Neutral,Sleeper,,,,,,,,,,,,,,,,,
108,Derek Carr,LV,QB,26,15,10,14,Neutral,,,,,,,,,,,,,,,,,,
109,Hunter Henry,NE,TE,,,,,Neutral,,,,,,,,,,,,,,,,,,
110,Chris Olave,NO,WR,26,15,10,14,Neutral,,,,,,,,,,,,,,,,,,
111,James Cook,BUF,RB,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
112,James Robinson,JAC,RB,14,32,17,30,Bad,,,,,,,,,,,,,,,,,,
113,Darrell Henderson Jr.,LAR,RB,12,22,3,17,Good,,,,,,,,,,,,,,,,,,
114,Garrett Wilson,NYJ,WR,10,30,6,16,Neutral,,,,,,,,,,,,,,,,,,
115,Pat Freiermuth,PIT,TE,30,26,14,10,Neutral,,,,,,,,,,,,,,,,,,
116,Cole Kmet,CHI,TE,17,2,1,29,Bad,Sleeper,,,,,,,,,,,,,,,,,
117,Justin Fields,CHI,QB,4,19,21,5,Bad,Sleeper,,,,,,,,,,,,,,,,,
118,Ronald Jones II,KC,RB,4,19,21,5,Good,,,,,,,,,,,,,,,,,,
119,Michael Carter,NYJ,RB,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
120,Mike Gesicki,MIA,TE,11,29,9,11,Neutral,,,,,,,,,,,,,,,,,,
121,Skyy Moore,KC,WR,19,16,20,9,Good,,,,,,,,,,,,,,,,,,
122,Tua Tagovailoa,MIA,QB,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
123,Alexander Mattison,MIN,RB,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
124,Marquez Valdes-Scantling,KC,WR,30,26,14,10,Good,,,,,,,,,,,,,,,,,,
125,Russell Gage,TB,WR,,,,,Good,,,,,,,,,,,,,,,,,,
126,Tyler Boyd,CIN,WR,26,15,10,14,Good,,,,,,,,,,,,,,,,,,
127,Trevor Lawrence,JAC,QB,17,2,1,29,Bad,Sleeper,,,,,,,,,,,,,,,,,
128,Dameon Pierce,HOU,RB,7,6,26,4,Neutral,,,,,,,,,,,,,,,,,,
129,Isaiah Spiller,LAC,RB,11,29,9,11,Good,,,,,,,,,,,,,,,,,,
130,Irv Smith Jr.,MIN,TE,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
131,Kenny Golladay,NYG,WR,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
132,Jakobi Meyers,NE,WR,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
133,Raheem Mostert,MIA,RB,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
134,Noah Fant,SEA,TE,27,18,7,26,Neutral,,,,,,,,,,,,,,,,,,
135,Michael Gallup,DAL,WR,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
136,DeVante Parker,NE,WR,23,7,4,21,Neutral,Draft him,,,,,,,,,,,,,,,,,
137,Albert Okwuegbunam,DEN,TE,23,7,4,21,Neutral,,,,,,,,,,,,,,,,,,
138,Jarvis Landry,NO,WR,11,29,9,11,Neutral,,,,,,,,,,,,,,,,,,
139,Kenneth Gainwell,PHI,RB,13,21,12,32,Neutral,,,,,,,,,,,,,,,,,,
140,Robert Tonyan,GB,TE,13,21,12,32,Neutral,,,,,,,,,,,,,,,,,,
141,Jameis Winston,NO,QB,19,16,20,9,Neutral,Sleeper,,,,,,,,,,,,,,,,,
142,Jamaal Williams,DET,RB,12,22,3,17,Neutral,,,,,,,,,,,,,,,,,,
143,David Njoku,CLE,TE,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
144,DJ Chark Jr.,DET,WR,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
145,Tyler Higbee,LAR,TE,22,13,30,15,Good,,,,,,,,,,,,,,,,,,
146,Gerald Everett,LAC,TE,14,32,17,30,Good,,,,,,,,,,,,,,,,,,
147,Matt Ryan,IND,QB,9,12,25,20,Neutral,,,,,,,,,,,,,,,,,,
148,Gus Edwards,BAL,RB,28,11,32,8,Neutral,,,,,,,,,,,,,,,,,,
149,Nyheim Hines,IND,RB,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
150,Tyler Allgeier,ATL,RB,8,5,2,31,Neutral,,,,,,,,,,,,,,,,,,
151,Ryan Tannehill,TEN,QB,21,14,24,6,Bad,,,,,,,,,,,,,,,,,,
152,Khalil Herbert,CHI,RB,18,23,15,19,Bad,,,,,,,,,,,,,,,,,,
153,Rondale Moore,ARI,WR,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
154,Buffalo Bills,BUF,DST,21,14,24,6,Neutral,,,,,,,,,,,,,,,,,,
155,Marlon Mack,HOU,RB,17,2,1,29,Neutral,,,,,,,,,,,,,,,,,,
156,Daniel Jones,NYG,QB,18,23,15,19,Neutral,,,,,,,,,,,,,,,,,,
157,Tampa Bay Buccaneers,TB,DST,10,30,6,16,Good,,,,,,,,,,,,,,,,,,
158,Evan Engram,JAC,TE,15,31,18,13,Bad,,,,,,,,,,,,,,,,,,
159,Julio Jones,TB,WR,7,6,26,4,Good,,,,,,,,,,,,,,,,,,
160,Mac Jones,NE,QB,32,3,31,3,Neutral,,,,,,,,,,,,,,,,,,
161,Sony Michel,MIA,RB,25,10,11,25,Neutral,,,,,,,,,,,,,,,,,,
162,Rachaad White,TB,RB,5,17,22,1,Good,,,,,,,,,,,,,,,,,,
163,J.D. McKissic,WAS,RB,18,23,15,19,Neutral,,,,,,,,,,,,,,,,,,
164,Jahan Dotson,WAS,WR,7,6,26,4,Neutral,,,,,,,,,,,,,,,,,,
165,Corey Davis,NYJ,WR,12,22,3,17,Neutral,,,,,,,,,,,,,,,,,,
166,San Francisco 49ers,SF,DST,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
167,Logan Thomas,WAS,TE,21,14,24,6,Neutral,,,,,,,,,,,,,,,,,,
168,Zach Wilson,NYJ,QB,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
169,Austin Hooper,TEN,TE,1,27,13,23,Bad,,,,,,,,,,,,,,,,,,
170,Indianapolis Colts,IND,DST,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
171,Mecole Hardman,KC,WR,11,29,9,11,Good,,,,,,,,,,,,,,,,,,
172,Van Jefferson,LAR,WR,12,22,3,17,Good,Sleeper,,,,,,,,,,,,,,,,,
173,Carson Wentz,WAS,QB,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
174,Nico Collins,HOU,WR,23,7,4,21,Neutral,,,,,,,,,,,,,,,,,,
175,Jameson Williams,DET,WR,9,12,25,20,Neutral,,,,,,,,,,,,,,,,,,
176,Darrel Williams,ARI,RB,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
177,Mark Ingram II,NO,RB,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
178,D'Onta Foreman,CAR,RB,17,2,1,29,Neutral,,,,,,,,,,,,,,,,,,
179,Justin Tucker,BAL,K,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
180,Robbie Anderson,CAR,WR,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
181,Denver Broncos,DEN,DST,9,12,25,20,Neutral,,,,,,,,,,,,,,,,,,
182,New England Patriots,NE,DST,14,32,17,30,Neutral,,,,,,,,,,,,,,,,,,
183,Los Angeles Rams,LAR,DST,28,11,32,8,Good,,,,,,,,,,,,,,,,,,
184,New Orleans Saints,NO,DST,3,4,19,28,Neutral,,,,,,,,,,,,,,,,,,
185,Jared Goff,DET,QB,9,12,25,20,Neutral,,,,,,,,,,,,,,,,,,
186,Hayden Hurst,CIN,TE,24,28,23,12,Good,,,,,,,,,,,,,,,,,,
187,Marvin Jones Jr.,JAC,WR,25,10,11,25,Bad,Draft him,,,,,,,,,,,,,,,,,
188,K.J. Osborn,MIN,WR,10,30,6,16,Neutral,,,,,,,,,,,,,,,,,,
189,Christian Watson,GB,WR,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
190,Brian Robinson Jr.,WAS,RB,17,2,1,29,Neutral,,,,,,,,,,,,,,,,,,
191,George Pickens,PIT,WR,25,10,11,25,Neutral,,,,,,,,,,,,,,,,,,
192,Tyler Bass,BUF,K,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
193,Joshua Palmer,LAC,WR,20,8,29,22,Good,Sleeper,,,,,,,,,,,,,,,,,
194,Matt Gay,LAR,K,27,18,7,26,Good,,,,,,,,,,,,,,,,,,
195,Baker Mayfield,CAR,QB,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
196,Kendrick Bourne,NE,WR,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
197,Deshaun Watson,CLE,QB,30,26,14,10,Neutral,,,,,,,,,,,,,,,,,,
198,Dallas Cowboys,DAL,DST,,,,,Neutral,,,,,,,,,,,,,,,,,,
199,Davis Mills,HOU,QB,32,3,31,3,Neutral,,,,,,,,,,,,,,,,,,
200,Daniel Carlson,LV,K,8,5,2,31,Neutral,,,,,,,,,,,,,,,,,,
201,Donovan Peoples-Jones,CLE,WR,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
202,Evan McPherson,CIN,K,5,17,22,1,Good,,,,,,,,,,,,,,,,,,
203,Zamir White,LV,RB,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
204,KJ Hamler,DEN,WR,3,4,19,28,Neutral,,,,,,,,,,,,,,,,,,
205,Jamison Crowder,BUF,WR,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
206,Los Angeles Chargers,LAC,DST,16,25,27,2,Good,,,,,,,,,,,,,,,,,,
207,Jalen Tolbert,DAL,WR,28,11,32,8,Neutral,,,,,,,,,,,,,,,,,,
208,Green Bay Packers,GB,DST,21,14,24,6,Neutral,,,,,,,,,,,,,,,,,,
209,Boston Scott,PHI,RB,16,25,27,2,Neutral,,,,,,,,,,,,,,,,,,
210,Miami Dolphins,MIA,DST,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
211,Kenyan Drake,LV,RB,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
212,Curtis Samuel,WAS,WR,31,20,16,18,Neutral,Sleeper,,,,,,,,,,,,,,,,,
213,Kansas City Chiefs,KC,DST,25,10,11,25,Good,,,,,,,,,,,,,,,,,,
214,Parris Campbell,IND,WR,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
215,Ryan Succop,TB,K,,,,,Good,,,,,,,,,,,,,,,,,,
216,Harrison Butker,KC,K,17,2,1,29,Good,,,,,,,,,,,,,,,,,,
217,Matt Prater,ARI,K,31,20,16,18,Neutral,,,,,,,,,,,,,,,,,,
218,Cleveland Browns,CLE,DST,31,20,16,18,Neutral,,,,,,,,,,,,,,,,,,
219,Brevin Jordan,HOU,TE,1,27,13,23,Neutral,Sleeper,,,,,,,,,,,,,,,,,
220,A.J. Green,ARI,WR,1,27,13,23,Neutral,,,,,,,,,,,,,,,,,,
221,Wan'Dale Robinson,NYG,WR,21,14,24,6,Neutral,,,,,,,,,,,,,,,,,,
222,Tyrion Davis-Price,SF,RB,32,3,31,3,Neutral,,,,,,,,,,,,,,,,,,
223,Baltimore Ravens,BAL,DST,3,4,19,28,Neutral,,,,,,,,,,,,,,,,,,
224,Philadelphia Eagles,PHI,DST,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
225,Pittsburgh Steelers,PIT,DST,12,22,3,17,Neutral,,,,,,,,,,,,,,,,,,
226,David Bell,CLE,WR,26,15,10,14,Neutral,,,,,,,,,,,,,,,,,,
227,Marcus Mariota,ATL,QB,14,32,17,30,Neutral,,,,,,,,,,,,,,,,,,
228,Chuba Hubbard,CAR,RB,8,5,2,31,Neutral,,,,,,,,,,,,,,,,,,
229,Sterling Shepard,NYG,WR,5,17,22,1,Neutral,,,,,,,,,,,,,,,,,,
230,Alec Pierce,IND,WR,26,15,10,14,Neutral,Sleeper,,,,,,,,,,,,,,,,,
231,Rodrigo Blankenship,IND,K,10,30,6,16,Neutral,,,,,,,,,,,,,,,,,,
232,Younghoe Koo,ATL,K,24,28,23,12,Neutral,,,,,,,,,,,,,,,,,,
233,Jonnu Smith,NE,TE,31,20,16,18,Neutral,,,,,,,,,,,,,,,,,,
234,Jason Sanders,MIA,K,6,1,28,7,Neutral,,,,,,,,,,,,,,,,,,
235,Laviska Shenault Jr.,JAC,WR,28,11,32,8,Bad,,,,,,,,,,,,,,,,,,
236,Nick Folk,NE,K,11,29,9,11,Neutral,,,,,,,,,,,,,,,,,,
237,Brandon McManus,DEN,K,22,13,30,15,Neutral,,,,,,,,,,,,,,,,,,
238,Damien Williams,ATL,RB,13,21,12,32,Neutral,,,,,,,,,,,,,,,,,,
239,Trey Sermon,SF,RB,29,9,5,27,Neutral,,,,,,,,,,,,,,,,,,
240,D'Ernest Johnson,CLE,RB,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
241,Samaje Perine,CIN,RB,11,29,9,11,Good,,,,,,,,,,,,,,,,,,
242,Arizona Cardinals,ARI,DST,8,5,2,31,Neutral,,,,,,,,,,,,,,,,,,
243,Adam Trautman,NO,TE,,,,,Neutral,,,,,,,,,,,,,,,,,,
244,Mo Alie-Cox,IND,TE,20,8,29,22,Neutral,,,,,,,,,,,,,,,,,,
245,Mitch Trubisky,PIT,QB,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
246,Terrace Marshall Jr.,CAR,WR,13,21,12,32,Neutral,,,,,,,,,,,,,,,,,,
247,Robbie Gould,SF,K,15,31,18,13,Neutral,,,,,,,,,,,,,,,,,,
248,Cincinnati Bengals,CIN,DST,26,15,10,14,Good,,,,,,,,,,,,,,,,,,
249,Isaiah McKenzie,BUF,WR,19,16,20,9,Neutral,,,,,,,,,,,,,,,,,,
250,Byron Pringle,CHI,WR,23,7,4,21,Bad,,,,,,,,,,,,,,,,,,
